id,nombre,tipo,tipo_sede,actividade,direccion,barrio,comuna,telefono,email,web,facebook,instalacio,geometry
128,Club Nautico Hacoaj,Club,Sede,Patín - Vóley - Fútbol 5 - Gimnasia - Gimnasia Deportiva - Hándball,Estado De Israel Av. 4156,Almagro,Comuna 5,4863-2121,hacoaj@hacoaj.org.ar,www.hacoaj.org.ar,club náutico hacoaj - sitio oficial organización sin fines de lucro,2 Gimnasios Cubiertos Dobles - 1 Gimnasio de Entrenamiento - 1 Gimnasio de Capacitación - 2 Salones de Usos Múltiples - Confitería - Tatami de Judo - Aulas - Salones de Reunión - Oficinas Administrativas y de Gestión,POINT (-58.424224872935525 -34.59801675394174)
129,Club Oeste,Club de Barrio,Sede,Danza - Escuela de Fútbol - Fútbol Infantil - Gimnasia Articular - Gimnasia Artística - Karate - Ninjutsu - Patín - Salsa - Taekwondo - Tai Chi Chuan - Tango - Vóley Adultos - Yoga Tt - Actividades Culturales - Árabe - Axe - Básquet,"Moreno, Jose Maria Av. 446",Caballito,Comuna 6,4923-7509,cluboeste2003@yahoo.com.ar,www.webcluboeste.com.ar,club-oeste caballito,Canchas - Salones,POINT (-58.434350529759335 -34.62366982658291)
130,Club Pueyrredon,Club de Barrio,Sede,Patín - Fútbol 5 - Artes Marciales - Billar,Larsen 2843,Villa Pueyrredon,Comuna 12,4571-0156,,,,Canchas - Salones,POINT (-58.50815660028815 -34.57859360174608)
131,Club Racing de Villa del Parque,Club,Sede,Vóley Femenino - Gimnasia Artística - Básquet - Atletismo - Patín Artístico - Sipalki Do - Taekwondo - Judo - Fútsal Masculino - Fútsal Femenino - Fútbol Infantil,Nogoya 3045,Villa Del Parque,Comuna 11,4501-9100  4504-9111  y 4502-7396,sedecapital@racingclub.com.ar,www.racingclub.com.ar,,,POINT (-58.491483867409116 -34.602478326149864)
132,Club Riachuelo Juniors,Club de Barrio,Sede,Patín - Aerobox - Escuela de Fútbol - Escuela de Vóley - Fútbol Infantil - Karate,"Einstein, Alberto 1022",Nueva Pompeya,Comuna 4,4943-6158,,,,1 Buffet - Salón para Eventos - 1 Cancha de Baby,POINT (-58.40993055725254 -34.65628278187731)
133,"Club Social Cultural, Deportivo y Biblioteca Pedro Lozano",Club de Barrio,Sede,Boxeo - Artes Marciales - Baby Fútbol - Capoeira - Danza Árabe - Kung Fu - Tango,Gualeguaychu 2902,Villa Devoto,Comuna 11,4566-3598,clubpedrolozano@gmail.com,,,1 Canchas - 2 Salones,POINT (-58.50748334965353 -34.608652631339965)
134,"Club Social, Cultural y Deportivo Bohemios",Club de Barrio,Sede,Baby Fútbol - Actividades Culturales - Yoga - Tango - Merengue - Salsa,Necochea 948,La Boca,Comuna 4,4307-0114,,,,1 Cancha - 2 Salones,POINT (-58.35856104768878 -34.63260206341002)
135,"Club Social, Cultural y Deportivo Larrazabal",Club de Barrio,Sede,Artes Marciales - Yoga - Actividades Culturales,Larrazabal Av. 829,Liniers,Comuna 9,4642-7089,larrazabalclubsocial@gmail.com,,,Salones,POINT (-58.5074130775165 -34.64729426244394)
136,Club Social Deportivo El Trebol y Biblioteca Independencia,Club de Barrio,Sede,Fútbol Infantil - Vóley Femenino - Teatro - Karate - Actividades Culturales - Bochas para Jubilados - Gimnasia,Gandara 2840,Parque Chas,Comuna 15,4521-5569,eltrebol54@uol.com.ar,,,,POINT (-58.48052589918134 -34.58325250686709)
137,Club Social Sportivo Devoto,Club de Barrio,Sede,Boxeo - Fútbol - Artes Marciales - Tejo,"Mistral, Gabriela 3151",Villa Pueyrredon,Comuna 12,4571-3552,,,,Salones - Canchas de Tejo,POINT (-58.50487831274991 -34.58899762815527)
138,Club Social y Cultural El Luchador,Club de Barrio,Sede,Taekwondo - Folklore - Merengue - Salsa - Tango - Danza Árabe,Viena 6508,Versalles,Comuna 10,4644-3353,,,,1 Cancha - 1 Salon,POINT (-58.523510108847155 -34.633011449727725)
139,Club Social y Cultural General San Martin,Club de Barrio,Sede,Actividades Culturales - Gimnasia Femenina - Artes Marciales - Baby Fútbol - Gimnasia Artística,Oliden 956,Liniers,Comuna 9,4644-4367,,,,1 Cancha - 2 Salones,POINT (-58.50981284607976 -34.648027267878895)
140,Club Social y Deportivo Añasco,Club de Barrio,Sede,Taekwondo - Baby Fútbol - Actividades Culturales - Patín - Danza Clásica,"Rodriguez, Manuel A., General 2650",Paternal,Comuna 15,4583-4886,clubanasco@fibertel.com.ar,,,1 Cancha - 2 Salones,POINT (-58.461906344758674 -34.597720655457245)
141,Club Social y Deportivo Defensores de Chacarita,Club de Barrio,Sede,Actividades Culturales - Artes Marciales - Baby Fútbol - Danza - Vóley,Elcano Av. 3831,Villa Ortuzar,Comuna 15,4554-2990,defensoresdechacarita@live.com.ar,,,2 Canchas - 1 Salon,POINT (-58.4607496343635 -34.58112394346439)
142,Club Social y Deportivo Estrella de Maldonado,Club de Barrio,Sede,Acrobacia - Tenis de Mesa - Taekwondo - Patín - Karate - Fútsal - Esgrima - Baby Fútbol - Vóley,"Justo, Juan B. Av. 1439",Palermo,Comuna 14,4771-9334,info@estrella-maldonado.com.ar,www.estrella-maldonado.com.ar,,3 Canchas - 2 Salones - 2 Natatorio (Cubiertos en Invierno),POINT (-58.43433715701866 -34.58482267526993)
143,Club Social y Deportivo Floreal de La Paternal,Club de Barrio,Sede,Patín - Vóley - Baby Fútbol - Ajedrez,Elcano 4843,Paternal,Comuna 15,4553-0648,,,,2 Salones,POINT (-58.467505391757705 -34.591820540701434)
144,Club Social y Deportivo Floresta Juniors,Club de Barrio,Sede,Ajedrez - Yoga - Patín - Danza - Baby Fútbol - Artes Marciales,Laguna 734,Parque Avellaneda,Comuna 9,4671-9701,florestajuniors@gmail.com,,,2 Salones - Biblioteca,POINT (-58.477636321102 -34.64110352027211)
145,Club Social y Deportivo General Pueyrredon,Club de Barrio,Sede,Baby Fútbol - Yoga - Pesas - Básquet,Zuviria 2921,Flores,Comuna 7,S/T,,,,1 Cancha - 1 Salon,POINT (-58.45893491985366 -34.64488099715014)
146,Club Social y Deportivo Juventud de Devoto,Club de Barrio,Sede,Artes Marciales - Baby Fútbol - Salsa - Patín - Gimnasia Deportiva - Ajedrez,Bermudez 2366,Monte Castro,Comuna 10,4566-5212,clubjuventud@ubbi.com,,,"Biblioteca, 2 Canchas, 2 Salones",POINT (-58.51275322999957 -34.61720372788473)
147,Club Social y Deportivo Leopardi,Club de Barrio,Sede,Baby Fútbol - Boxeo,Cajaravilla 4980,Villa Luro,Comuna 10,4635-2629,,,,1 Cancha - 2 Salones,POINT (-58.49690330106045 -34.641097915943405)
148,Club Social y Deportivo Liberal de Nueva Chicago,Club de Barrio,Sede,Actividades Culturales - Pelota Paleta - Patín - Gimnasia Deportiva - Gimnasia - Baby Fútbol - Yoga - Artes Marciales,"Carhue 2855, Carhue 2877",Mataderos,Comuna 9,4686-6151,,,,2 Canchas (1 de Pelota-Paleta) - 1 Salon,POINT (-58.501903831780865 -34.66795815197101)
149,Club Social y Deportivo Nueva Estrella,Club de Barrio,Sede,Fútsal - Baby Fútbol,Santander 4601,Villa Lugano,Comuna 8,4602-6731,clubnuevaestrella@yahoo.com.ar  -  nuevaestrella@yahoo.com.ar,,,2 Canchas - 1 Salon,POINT (-58.47446258577543 -34.663007800206756)
150,Club Social y Deportivo Pinocho,Club de Barrio,Sede,Fútsal - Vóley - Pilates - Patín - Natación - Baby Fútbol - Básquet - Karate - Gimnasia,"Pedraza, Manuela 5139",Villa Urquiza,Comuna 12,4541-5909,pinocho@overnet.com.ar; clubpinocho@hotmail.com,,,Gimansio - Canchas Fútbol 5 - Natatorio,POINT (-58.49163805728094 -34.564552967998516)
151,Club Social y Deportivo Sol de Mayo,Club de Barrio,Sede,Artes Marciales - Baby Fútbol,Oliden 1947,Mataderos,Comuna 9,4687-1584,,,,1 Cancha - 3 Salones,POINT (-58.499481524364406 -34.657062721935034)
152,Club Social y Deportivo Sol del Plata Anexo Biblioteca Bartolome Mitre,Club de Barrio,Sede,Baby Fútbol,Araujo 1879,Mataderos,Comuna 9,,,,,1 Cancha - 1salon,POINT (-58.487865701059775 -34.654792540445285)
153,Club Social y Deportivo Union Marchigiana,Club de Barrio,Sede,Karate - Tenis de Mesa - Baby Fútbol - Taekwondo - Patín Artístico - Aikido - Gimnasia Deportiva,"Oroño, Nicasio 457",Caballito,Comuna 6,4431-4800,,,,1cancha - 1 Salon,POINT (-58.45158420548642 -34.61875564106014)
154,Club Sportivo Barracas Bolivar,Club de Barrio,Sede,Danza Árabe - Natación - Tango - Taekwondo - Patín - Gimnasia Deportiva - Fútsal,"Iriarte, Gral. 2056",Barracas,Comuna 4,4302-8536 / 8576,prensa@sportivobarracas.com.ar,www.sportivobarracas.com.ar,facebook.com/sbarracas,2 Canchas - 3 Salones - Natatorio,POINT (-58.37653659772701 -34.64902541772903)
155,Club Sportivo Pereyra,Club de Barrio,Sede,Gimnasia Deportiva - Baby Fútbol,Alvarado 2785,Barracas,Comuna 4,4301-9133,,,,1 Cancha - 2 Salones,POINT (-58.38549051384726 -34.64789422841303)
156,Club Unidos de Pompeya,Club de Barrio,Sede,,Saenz Av. 871,Nueva Pompeya,Comuna 4,,,,,Salon - Natatorio,POINT (-58.41657449577224 -34.65047518001851)
157,Universitario Buenos Aires Sede Nuñez,Club,Sede,Náutica - Gimnasia - Fútbol 11 - Fútbol - Curso de Timonel - Tenis,"Colectora Cantilo, Int. y Complejo Ciudad Universitaria (Sin Nombre Oficial)",Belgrano,Comuna 13,4703-4610 ó 4703-4611,,www.cuba.org.ar,,Amarraderos.,POINT (-58.451845739677296 -34.540001785569544)
157,Universitario Buenos Aires Sede Palermo,Club,Sede,Esgrima - Natación - Tenis - Taekwondo - Squash - Sala de Nautilus (Gimnasio de Pesas y Aparatos) - Pelota Paleta - Pádel - Gimnasia,"Figueroa Alcorta, Pres. Av. y Roldan, Belisario Av.",Palermo,Comuna 14,4774-5476 ó 4776-2992,,www.cuba.org.ar,,"Natatorio, 3 Canchas de Tenis, Cancha Cerrada de Pelota, 2 Canchas Abiertas de Pelota, Gimnasio, Vestuarios para Socios y Damas, Bar, Restaurante y Oficina Médica.",POINT (-58.418027019379785 -34.565976413695424)
157,Club Universitario Buenos Aires,Club,Central,Boxeo - Squash - Yudo - Gimnasia - Natación - Pelota Paleta - Taekwondo - Esgrima - Conferencias - Básquet - Fútbol - Complemento de Pesas - Yoga - Conciertos,Viamonte 1560,San Nicolas,Comuna 1,"4375-4360, lineas rotativas",,www.cuba.org.ar,,Natatorio - Biblioteca - Salon Comedor,POINT (-58.388959545402166 -34.600866227803664)
158,Club Vecinal y Deportivo Defensores de Cervantes,Club de Barrio,Sede,Fútsal - Yoga - Patín - Actividades - Artes Marciales - Baby Fútbol - Culturales,Cervantes 1734,Monte Castro,Comuna 10,4648-4277,,,,1 Cancha - 2 Salones,POINT (-58.507437354237744 -34.62342747346263)
159,Club Viento Norte,Club de Barrio,Sede,Actividades Culturales - Artes Marciales - Danza,"Acha, Mariano, Gral. 3743",Saavedra,Comuna 12,4541-5187,,,,,POINT (-58.488927443684155 -34.55796064208088)
160,Club Virgen del Carmen,Club de Barrio,Central,Chaiu Do Kwan - Fútbol Femenino - Fútbol - Hockey - Boxeo Maitai,"Peron, Eva Av. 6378",Villa Lugano,Comuna 8,4601-0423,,,,,POINT (-58.49269092106071 -34.66704527923759)
161,Colegiales,Club de Barrio,Sede,Artes Marciales - Aikido - Actividades Culturales - Taekwondo - Karate - Danza - Capoeira - Básquet - Yoga - Natación - Ajedrez,"Garcia, Teodoro 2856, Teodoro Garcia 2860",Colegiales,Comuna 13,4551-5193,,www.clubdyscolegiales.com.ar  y  twitter: @ccolegiales,club dyscolegiales,"Gimnasio, Canchas, Salones,Resto de Basket",POINT (-58.44841986624621 -34.57381072165171)
162,Crespo Juniors,Club de Barrio,Sede,Baby Fútbol,Tabare 1931,Nueva Pompeya,Comuna 4,4919-5985,,,,"2 Canchas de 100x70, Que las Alquilan - 2 Canchas de Baby para Campeonatos de Baby y Fefi - 1 Salon - 1 Quincho y 1 Buffet",POINT (-58.4286731684232 -34.65539228423448)
163,Daom,Club,Sede,Béisbol - Hockey Sobre Césped - Natación Femenino - Vóley - Natación Masculino - Tenis - Patín Artístico - Rugby - Colonia de Vacaciones,Varela Av. 1802,Flores,Comuna 7,4633-2583,,www.daom.com.ar,club daom,Gimnasios - Salones - Natatorios - Canchas - Quinchos,POINT (-58.448836199060274 -34.6473048914)
164,Darling,Club de Barrio,Sede,Natación - Gimnasio - Tenis,Brasil Av. 50,La Boca,Comuna 4,4362-3818,info@darlingtennisclub.com.ar,www.darlingtennisclub.com.ar,darling tennis club,13 Canchas de Tenis - Natatorio,POINT (-58.363981061503516 -34.62531304893271)
165,Deportivo Buenos Aires,Club de Barrio,Sede,Danza - Fútbol Competitivo Infantil - Fútsal - Gimnasia Deportiva - Patín - Patín Artístico - Tai Chi Chuan - Actividades Culturales - Baby Fútbol - Taekwondo,Pedernera 939,Flores,Comuna 7,4619-1829  4637-1839,,,,2 Canchas - 3 Salones - Biblioteca,POINT (-58.457470340019256 -34.63934500532506)
166,Deportivo Moran,Club de Barrio,Sede,Baby Fútbol - Papi Fútbol - Patín - Tango - Ajedrez,"Moran, Pedro 2446, Pedro Moran 2452",Agronomia,Comuna 15,4571-4031,,www.clubmoran.com.ar,club moran,Salon - Cancha,POINT (-58.491020825035186 -34.58974035010417)
167,Deportivo Parque,Club de Barrio,Sede,Fútbol 5 - Artes Marciales,"Sastre, Marcos 3268",Villa Del Parque,Comuna 11,4501-8730,clubsocialparque@hotmail.com,,,Instalaciones en Remodelación.,POINT (-58.492584080670994 -34.60628235875086)
168,Deprop,Club de Barrio,Sede,Gimnasio con Aparatos - Gimnasia Femenina - Pelota Paleta  Jóvenes Competitiva y Recreativa - Pelota Paleta Femenina Competitiva y Recreativa - Pelota Paleta Niños Competitiva y Recreativa - Taekwondo,Rivadavia Av. 3777,Almagro,Comuna 5,4981-9867 / 4982-3385,,,escuela de pelota paleta deprop,Cancha - Gimnasio - Salones,POINT (-58.419427460877124 -34.610917532742945)
169,Devoto Oeste Asociacion de Fomento y Biblioteca Popular,Club de Barrio,Sede,Gimnasia Artística - Yoga - Tango - Artes Marciales - Folklore - Gimnasia,Bermudez 3351,Villa Devoto,Comuna 11,4568-4837,,,,3 Salones,POINT (-58.52142512095877 -34.61008783739715)
170,Devoto Social Allende,Club de Barrio,Sede,Pilates - Baby Fútbol - Gimnasia - Gimnasia Deportiva - Yoga - Taekwondo - Patín - Pelota Paleta,Melincue 4656,Villa Devoto,Comuna 11,4566-8557,,,,Canchas - Salon - Biblioteca - Natatorio,POINT (-58.51032075734 -34.61298038002892)
171,Domingo Faustino Sarmiento,Club de Barrio,Sede,Danza Árabe - Bochas (Web) - Billar - Fútsal - Baby Fútbol - Auriculoterapia - Gimnasia Rítmica - Judo - Juegos de Salón - Patín - Taebo - Tango - Fiestas Danzantes,"Rabanal, Francisco, Intendente Av. 2375",Villa Soldati,Comuna 8,4919-3104,,,,2 Canchas - 1 Salon - Biblioteca,POINT (-58.43001258299324 -34.65992196398006)
172,El Alba,Club de Barrio,Sede,Artes Marciales - Taekwondo - Patín Artístico - Danza - Escuela de Vóley - Fútbol - Gimnasia - Kung Fu,"Gonzalez, Joaquin V. 2469, J. V. Gonzalez 2475",Villa Del Parque,Comuna 11,4568-8864,clubalba@yahoo.com.ar,,,,POINT (-58.49883117761366 -34.61036276543039)
173,El Ideal,Club de Barrio,Sede,Muay Thai - Jiu Jitsu - Kick Boxing - Tango - Gimnasia Rítmica - Fútsal - Escuela de Fútbol - Danza Árabe - Patín Artístico - Salsa - Taekwondo - Capoeira - Boxeo - Aeróbica - Actividades Culturales,Montiel 5142,Villa Riachuelo,Comuna 8,4601-1682,elidealmail@gmail.com - clubelideal@hotmail.com,,,1 Cancha - 3 Salones,POINT (-58.47738472467292 -34.688303931029985)
174,El Tabano,Club de Barrio,Sede,Ritmos Latinos - Gimnasia Rítmica - Hip Hop - Reggaeton - Acrobacia - Gimnasia - Danza - Árabe - Tango - Ajedrez - Gimnasia Artística - Salsa,"Naon, Romulo 3029",Coghlan,Comuna 12,4544-6193,,www.clubeltabano.com.ar,"club social y deportivo el tabano""""",,POINT (-58.47743334745877 -34.56148707880702)
175,El Talar,Club de Barrio,Sede,Taekwondo - Básquet Femenino - Fútbol Masculino - Fitness - Gimnasio de Musculación - Patín Artístico Femenino - Básquet Masculino - Pilates,Nueva York 2944,Agronomia,Comuna 15,4574-1918,clubeltalar@gmail.com  -  clubeltalar@yahoo.com.ar,,,Canchas - Salon,POINT (-58.49798371540331 -34.5919054809124)
176,Elevacion,Club de Barrio,Sede,Ajedrez Adultos - Gimnasia Niños y Jovenes - Juegos de Salón Niños Jovenes y Adultos - Tango - Yoga Adultos y Adultos Mayores - Yoga Jovenes - Gimnasia Adultos Mayores - Gimnasia Adultos - Billar Jovenes y Adultos - Ajedrez Jovenes - Actividades Cultu,Corrales 3236,Villa Soldati,Comuna 8,,,,,Salones - Escenario,POINT (-58.44153741892633 -34.66393131542639)
177,Entrenar por La Vida,Club de Barrio,Sede,Educación Física - Fútbol - Gimnasia Aeróbica - Fútbol Infantil - Boxeo,"Torres Y Tenorio, Pres. 2081",Parque Chacabuco,Comuna 7,4633-6439,,www.gimnasiojesusromero.com.ar,gimnasio jesus romero e hijos,,POINT (-58.44043279024271 -34.64455396627684)
178,Eros,Club de Barrio,Sede,Artes Marciales - Vóley - Baby Fútbol,Uriarte 1609,Palermo,Comuna 14,4832-1313,,,,1 Cancha - 2 Salones,POINT (-58.431840833511096 -34.58749455549901)
179,Estrella de Boedo,Club de Barrio,Sede,Gimnasia Deportiva - Fútsal para Chicos con Capacidades Especiales - Gimnasia - Fútsal - Básquet - Baby Fútbol - Actividades Culturales - Vóley - Patín - Hándball,Constitucion 4151,Boedo,Comuna 5,4921-9310,estrelladeboedo@yahoo.com.ar,www.estrelladeboedo.com,club estrella de boedo,Biblioteca - Canchas - Salon - Natatorio,POINT (-58.42297648233592 -34.62876213021907)
180,Estudiantes del Norte,Club de Barrio,Sede,Actividades Culturales - Boxeo - Escuelita de Fútbol (EFI) - Fútbol de Competicion - Patín Artístico - Taekwondo - Vóley Recreativo - Yoga,"Holmberg 4070, Holmberg 4078",Saavedra,Comuna 12,4546-0344,estudiantesdn@gmail.com,www.estudiantesdelnorte.com.ar,club estudiantes del norte,Cancha Fútbol 5 - Salon,POINT (-58.488196860871426 -34.55432277118897)
181,Atlético Excursionistas Estadio Coliseo del Bajo Belgrano,Club,Estadio,Boxeo - Patín Artístico - Fútbol Femenino - Fútsal (Afa) - Baby Fútbol - Tenis,La Pampa 1376,Belgrano,Comuna 13,4788-8007,,http://www.excursionistas.org.ar/,https://www.facebook.com/excursiooficial,Natatorios,POINT (-58.443764888716785 -34.558889805599506)
182,Expreso de Bariloche,Club de Barrio,Sede,,"Suarez, Jose Leon 2472, Jose Leon Suarez 2476",Mataderos,Comuna 9,S/T,,,,Cancha de Futbol - Cancha de Bochas - Pista para Automodelismo - Buffet,POINT (-58.50975426116035 -34.66492056155544)
183,Fenix Club,Club de Barrio,Sede,Danza Jazz y Clásico - Boxeo Recreativo para Adolescentes y Adultos - Actividades Culturales - Tenis de Mesa - Tai Chi para Adultos - Taekwondo Infantil - Ritmos Latinos - Kung Fu - Escuela de Fútbol Recreativa y Competitiva Infantil,Vallejos 4516,Villa Devoto,Comuna 11,4501-5945,clubfenixdevoto@hotmail.com,www.tenisdemesa.fenixdevoto.com.ar,fenix devoto,"Sum de 6x4, Solar Que Se Usa Como Cancha de Fútbol y Basquet, Cancha de Bochas, Dos Sum Mas.",POINT (-58.52088193085688 -34.60045328303304)
184,Flores Club,Club de Barrio,Sede,Fútsal - Patín - Gimnasia Deportiva - Yoga - Danza - Baby Fútbol - Artes Marciales,Quirno 947,Flores,Comuna 7,4612-0894,floresclub@argentina.com.ar,,,Cancha - Salones,POINT (-58.464313805700776 -34.642683074087756)
185,Floresta Rugby Club,Club de Barrio,Sede,Rugby,Lacarra Av. 1257,Parque Avellaneda,Comuna 9,6632-1332,,www.florestarugbyclub.com.ar,floresta rugby club,,POINT (-58.47422386270446 -34.645812463467976)
186,Franja de Oro,Club de Barrio,Anexo Deportivo,Pádel - Merengue - Fútsal - Patín - Gimnasia Deportiva - Gimnasia - Pesca Deportiva - Actividades Culturales - Arquería - Natación - Baby Fútbol - Fisicoculturismo - Yudo - Salsa - Yoga - Taekwondo,"Alcorta, Amancio Av. 4007",Nueva Pompeya,Comuna 4,4911-1566/ 4912-0965,correo@clubfranjadeoro.com.ar,www.clubfranjadeoro.com.ar,franja de oro,3 Canchas-3 Salones- Natatorio,POINT (-58.41529955062465 -34.655869289177225)
186,Franja de Oro,Club de Barrio,Sede,Merengue - Yudo - Yoga - Taekwondo - Salsa - Pesca Deportiva - Patín - Pádel - Natación - Gimnasia Deportiva - Gimnasia - Fútsal - Fisicoculturismo - Baby Fútbol - Arquería - Actividades Culturales,"Alcorta, Amancio Av. 3950",Nueva Pompeya,Comuna 4,4911-1566/ 4912-0965,correo@clubfranjadeoro.com.ar,www.clubfranjadeoro.com.ar,franja de oro,3 Canchas-3 Salones- Natatorio,POINT (-58.41433861388027 -34.656137268092)
187,Fundacion Nueva Generacion del Deporte,Club de Barrio,Anexo Deportivo,Patín - Baby Fútbol - Básquet - Gimnasia,"Bocayuva, Quintino 1241",Boedo,Comuna 5,4924-8387/1323,,,,2 Canchas - 1 Salon - Biblioteca,POINT (-58.421299823034566 -34.62804603094741)
187,Fundacion Nueva Generacion del Deporte,Club de Barrio,Central,Básquet - Patín - Gimnasio - Baby Fútbol,"Alberdi, Juan Bautista Av. 4563",Villa Luro,Comuna 10,4924-8387/1323,,,,2 Canchas - 1 Salon - Biblioteca,POINT (-58.490742182535385 -34.64248520836383)
188,Atlético General Lamadrid Estadio Estadio Enrique Sexto,Club de Barrio,Estadio,Fútbol Afa - Hándball - Patín - Vóley - Baby Fútbol - Fútsal,Desaguadero 3120,Villa Devoto,Comuna 11,4567-6239,caglamadrid@caglamadrid.com.ar,http://www.lamadrid.org.ar/,https://www.facebook.com/prensalamadrid,4 Canchas - 1 Natatorio - 3 Salones,POINT (-58.514807299290396 -34.612991493410604)
189,Gimnasio Chacabuco,Club de Barrio,Sede,Fútsal Mayores - Gimnasio de Musculación - Fútsal Juvenil - Fútbol - Yoga - Teatro Infantil (Taller) - Sipalki Do - Taekwondo - Salsa - Patín - Kendo - Escuela de Fútbol - Boxeo - Ballroom - Bachata - Baby Fútbol - Aikido - Guitarra para Menores -,"Miro 750, Miro 758",Parque Chacabuco,Comuna 7,4432-5575 de 14 a 22 hs,clubgimnasiochacabuco@yahoo.com.ar,www.clubgchacabuco.com.ar,club chacabuco,Canchas - Salón,POINT (-58.446028637466945 -34.63173480837282)
190,Giovanni Gentile,Club de Barrio,Sede,Taekwondo - Actividades Culturales - Ajedrez - Gimnasia - Ping Pong - Tango - Yoga,"Garcia, Juan Agustin 5270",Velez Sarsfield,Comuna 10,4568-2588   y   4566-8448,giovannigentile@fibertel.com.ar,,,2 Salones - 1 Cancha (Bochas),POINT (-58.50669100343588 -34.62731306901615)
191,Glorias Argentinas,Club de Barrio,Sede,Tango - Vóley - Baby Fútbol - Fútsal - Gimnasia Deportiva - Merengue - Salsa - Taekwondo,Bragado 6875,Mataderos,Comuna 9,4687-8576,,www.clubgloriasargentinas.com,club-glorias-argentinas-futbol-infantil    y    club-glorias-argentinas,Canchas - Salon,POINT (-58.51005696468725 -34.65923122225069)
192,Golf Club Jose Jurado,Club,Sede,Golf,"Roca, Cnel. Av. 5025",Villa Lugano,Comuna 8,4605-4706,,,,Campo de Golf,POINT (-58.45399434984481 -34.682889107504664)
193,Gon,Club de Barrio,Anexo Deportivo,Yoga - Patín Roller - Tango - Merengue - Fútsal - Salsa - Fútbol Femenino - Danza Folklóricas - Actividades Culturales - Baby Fútbol,Cochabamba 3750,Boedo,Comuna 5,4921-2364/0853,circulosunidosgon@gmail.com,www.circulosunidosgonoficial.com.ar,circulosunidosgonoficial,Biblioteca - 2 Salones - 1 Cancha,POINT (-58.41790460153168 -34.627285059701265)
193,Gon,Club de Barrio,Central,Actividades Culturales - Baby Fútbol - Danza Folklóricas - Fútbol Femenino - Fútsal - Yoga - Tango - Salsa - Patín Roller - Merengue,"Pavon Av. 3916, Avda. Pavon 3918",Boedo,Comuna 5,4921-2364/0853,circulosunidosgon@gmail.com,www.circulosunidosgonoficial.com.ar,circulosunidosgonoficial,Biblioteca - 2 Salones - 1 Cancha,POINT (-58.419344956169105 -34.63074583292896)
194,Harrods Gath y Chaves Club,Club,Sede,Hockey Sobre Césped - Vóley - Tenis de Mesa - Tenis - Taekwondo - Bádminton - Básquet - Fútbol - Patín - Hockey Sobre Patínes - Gimnasia,"Pino, Virrey Del 1480",Belgrano,Comuna 13,4783-5864,info@clubharrods.com.ar,,,Cancha Fútbol 11 - Playon - 2 Salones - Gimasio - Canchas de Tenis - Natatorio,POINT (-58.442309139141024 -34.56087224651043)
195,Homero Manzi,Club de Barrio,Sede,Natación - Fútbol Femenino - Fútbol - Taekwondo - Patín,Beauchef 1050,Parque Chacabuco,Comuna 7,4922-3588,clubhomeromanzi@hotmail.com,,,2 Natatorios - 3 Canchas,POINT (-58.43169471654341 -34.62960831871683)
196,Imperio Juniors,Club de Barrio,Sede,Boxeo - Yoga - Buceo - Waterpolo - Vóley Veteranos - Tango - Folklore - Gimnasia Acrobática - Gimnasia Aeróbica - Gimnasia Artística - Iniciación Deportiva - Pileta Libre - Natación - Patín - Aguas Abiertas - Aquagym - Artes Marciales - Básquet,"Diaz, Cesar, Gral. 3047",Villa Santa Rita,Comuna 11,4581-8682 / 4585-0833,clubimperiojuniors@hotmail.com,www.clubimperio.com.ar,,"Biblioteca, 5 Canchas, 3 Salones, Natatorio Climatizado",POINT (-58.48103030395991 -34.615270183650026)
197,Islandia,Club de Barrio,Sede,Tango - Canotaje - Fútsal - Gimnasia - Karate - Murga,Nuñez 5566,Villa Urquiza,Comuna 12,S/T,,,,Cancha - Salon,POINT (-58.497582443069874 -34.56600131038155)
198,Italiano,Club de Barrio,Anexo Deportivo,Folklore - Danza Árabe - Colonia de Vacaciones - Básquet - Actividades Culturales - Vóley - Tango - Taekwondo - Sipalki Do - Judo - Iniciación Deportiva - Hockey - Gimnasia Rítmica - Yoga - Pelota Paleta - Natación - Kendo - Tenis - Rugby - Fútbol,Riestra Av. 2770,Villa Soldati,Comuna 8,,clubitaliano@clubitaliano.com.ar,www.clubitaliano.com.ar,club italiano - buenos aires liga deportiva,Canchas - Salones - Natatorio,POINT (-58.446165547743135 -34.65274146130067)
198,Italiano,Club de Barrio,Central Sede Social,Natación - Actividades Culturales - Básquet - Colonia de Vacaciones - Danza Árabe - Folklore - Yoga - Vóley - Tenis - Tango - Taekwondo - Sipalki Do - Rugby - Pelota Paleta - Kendo - Judo - Iniciación Deportiva - Hockey - Gimnasia Rítmica - Gimnasi,Rivadavia Av. 4731,Caballito,Comuna 6,4901-1061/63,clubitaliano@clubitaliano.com.ar,www.clubitaliano.com.ar,club italiano - buenos aires liga deportiva,Canchas - Salones - Natatorio,POINT (-58.43209234109185 -34.616157743745454)
199,Jorge Newbery,Club de Barrio,Sede,Actividades Culturales - Pádel - Taekwondo - Gimnasia Rítmica - Gimnasia Artística - Baby Fútbol - Patín - Clases de Folklore - Fútbol - Fútsal,Irigoyen 2050,Villa Real,Comuna 10,4642-4859,jnfutsal@gmail.com,www.jnfutsal.blogspot.com.ar,jorge newbery futsal,"Canchas de Baby, Canchas de Padel, Salones",POINT (-58.524425047484016 -34.62250539038058)
